rank,name,team,points
123,Jakob Karlsson,Exsitec Ski Team,104
124,Joachim Weel Rosbo,Danish Ski Maraton Team,102
125,Dennis Steensen,YC Rør Sjusjøen Ski Team,101
125,George Ersson,Ski Team Göhlins,101
127,Victor Cullet Calderini,i3 Ski Team,100
127,Joel Björnlinger,Ski Team Göhlins,100
129,Hannes Mäenpää,Team Mäenpää,100
130,Simon Jonsson,Ski Team Göhlins,99
130,Petr Kolaja,Vltava Fund Ski Team,99
130,Oskar Opstad Vike,Team Ragde Charge,99
133,Mattis Basille,Team Nordic Expérience,96
134,Bastien Laurent,Team Nordic Expérience,93
135,Martin Jakš,eD system Silvini Team,90
136,Gaute Kvåle,Team Kaffebryggeriet,88
137,Till Hartmann,Bruse Sauerland Ski Team,83
137,Emanuele Busin,Team Internorm Alpenplus Trentino,83
139,Stanislav Řezáč,Slavia Pojišťovna Sport Team,73
140,Pål Trøan Aune,Team Janteloppet,71
141,Imanol Rojo,Team Coop Madshus,65
142,Joonas Sarkkinen,Team Edux,58
143,Emanuele Bosin,Team Futura Trentino GTE Elettrica,54
144,Jonathan Göppert,xc-ski.de A|N Skimarathon Team,53
145,Vaino Kotro,Team Kaski-Ekovilla,52
146,Birger Hartmann,Bruse Sauerland Ski Team,51
147,Lorenz Grüber,Ski-Willy Marathon Team Austria,50
148,Brice Milici,Team Nordic Expérience,48
149,Halfdan Thomas Baumann,Team NTNUI Sweco,46
149,David Sulkakoski,Team Mäenpää,46
151,Uku Leipalu,Team Fikala Evecon,44
152,Kaspar Kaasla,Team Fikala Evecon,41
153,Mauro Brigadoi,Team Internorm Alpenplus Trentino,39
154,Ståle Fenstad,Team Front Rustad IL,37
154,Nils Ø. Berg,Team Front Rustad IL,37
156,Sabin Coupat,Team Nordic Expérience,34
157,Adrian Bosshart,xc-ski.de A|N Skimarathon Team,33
158,Tobias Dargatz,xc-ski.de A|N Skimarathon Team,29
159,Max Bernshausen,Bruse Sauerland Ski Team,27
159,Markus Köcheler,xc-ski.de A|N Skimarathon Team,27
161,Sivert Leander Johansen,Team Næringsbanken Stora Enso,26
162,Maurice Manificat,Team Vercors Isère,15
163,Adam Fellner,eD system Silvini Team,14
164,Simon Onnich,Bruse Sauerland Ski Team,12
165,Björn Toft,Danish Ski Maraton Team,10
165,Niclas Hägglund,Exsitec Ski Team,10
167,Lauro Brändli,TEAM BSV IBEX,7
168,Matthias Fugger,xc-ski.de A|N Skimarathon Team,7
169,Linus Jansson,Exsitec Ski Team,5
169,Florian Göbel,Ski-Willy Marathon Team Austria,5
169,Marius Vesterås,Team Synnfjell,5
169,Michal Vank,Slavia Pojišťovna Sport Team,5
173,Tobias Hartig,Bruse Sauerland Ski Team,4
173,Oskar Ahnbrink,Team Synnfjell,4
173,Jonas Bergli,Team Synnfjell,4
173,Valdemar Alfred Jørgensen,Danish Ski Maraton Team,4
177,Philipp Unger,xc-ski.de A|N Skimarathon Team,3
178,Riccardo Mich,Team Futura Trentino GTE Elettrica,2
178,Øyvind Tormod Wennersberg,Team Coop Madshus,2
178,Matti Kaski,Team Kaski-Ekovilla,2
178,Markku Kouva,Team Edux,2
178,Seve De Campo,Vltava Fund Ski Team,2
183,Even Northug,Team Janteloppet,1
183,Aleš Řezáč,Slavia Pojišťovna Sport Team,1
183,Petr Knop,eD system Silvini Team,1
183,Robin Mäenpää,Team Mäenpää,1
183,Jørgen Harby,YC Rør Sjusjøen Ski Team,1
183,Luděk Šeller,Slavia Pojišťovna Sport Team,1
