rank,name,team,points,born,nation,height,weight,skis,boots,poles
69,Christian Lorenzi,Team Internorm Alpenplus Trentino,256,19.10.1994,ITA,,,,,
70,Henrik Vik Tolo,Team Synnfjell,255,23.04.1999,NOR,,,,,
71,Halvor Korbøl Thoner,YC Rør Sjusjøen Ski Team,254,09.07.1991,NOR,,,,,
72,Tord Asle Gjerdalen,Slavia Pojistovna Prestasjonsboost Team,253,03.08.1983,NOR,,,,,
73,Gian Flurin Pfaeffli,TEAM BSV IBEX,236,09.10.1996,SUI,,,,,
74,Edvard Sandvik,YC Rør Sjusjøen Ski Team,231,25.10.2001,NOR,,,,,
75,Rickard Ericsson,Team Futura Trentino GTE Elettrica,230,30.11.1998,SWE,190 cm,87 kg,Madshus,Madshus,Madshus
76,Henri Roos,Team Fikala Evecon,228,14.07.1998,EST,,,,,
77,Nathan Jouannon,i3 Ski Team,221,09.01.2000,FRA,178 cm,65 kg,,,
78,Per Ingvar Tollehaug,Team Synnfjell,216,08.04.2003,NOR,,,,,
79,Viktor Mäenpää,Team Mäenpää,208,17.03.1994,FIN,,,,,
80,Johannes Kuchl,Vltava Fund Ski Team,205,08.07.2002,GER,,,,,
81,Benjamin Marguet,Team Vercors Isère,201,29.12.1999,FRA,,,,,
82,Pierre Belingheri,i3 Ski Team,199,01.10.1988,FRA,,,,,
83,Emanuel Elmersson,Ski Team Göhlins,191,15.02.1992,SWE,,,,,
84,Jakob Walther,Slavia Pojišťovna Sport Team,190,26.12.1999,GER,,,,,
85,Sune Elmose,Danish Ski Maraton Team,190,16.04.1974,DEN,,,,,
86,Elie Faret,Team Vercors Isère,188,12.02.1998,FRA,,,,,
87,Petter Soleng Skinstad,Team Coop Madshus,188,30.09.1989,NOR,,,,,
88,Sivert Bergan,YC Rør Sjusjøen Ski Team,184,27.01.1995,NOR,,,,,
89,Paolo Fanton,Team Futura Trentino GTE Elettrica,182,26.10.1993,ITA,,,,,
90,Fredrik Andersson,Ski Team Göhlins,180,12.11.1998,SWE,,,,,
91,James Clugnet,Vltava Fund Ski Team,179,04.12.1996,GBR,,,,,
92,Jules Chappaz,Team Nordic Expérience,179,22.05.1999,FRA,,,,,
93,Stefan Falk,Ski-Willy Marathon Team Austria,176,30.09.1997,GER,,,,,
94,Erik Ola Jorde,Team NTNUI Sweco,174,09.01.2003,NOR,,,,,
95,Marino Capelli,TEAM BSV IBEX,172,24.02.1996,SUI,,,,,
96,Simon Vuillet,i3 Ski Team,172,10.01.2000,FRA,,,,,
97,Jonas Vika,Team Kaffebryggeriet,164,12.05.2001,NOR,,,,,
98,Sigurd Sollien Hulbak,Team Synnfjell,163,20.07.1995,NOR,,,,,
99,Mattia Armellini,Team Futura Trentino GTE Elettrica,155,18.07.1997,ITA,,,,,
100,Maximilian Bie,Team Coop Madshus,154,02.07.1995,NOR,,,,,
101,Mattis Jaama,Team Fikala Evecon,151,28.05.1992,EST,,,,,
102,Lauritz Sogn-Larssen,Team NTNUI Sweco,150,05.01.2003,NOR,,,,,
103,Gianluca Wenger,TEAM BSV IBEX,145,04.07.2002,SUI,,,,,
104,Truls Gisselman,Team Janteloppet,144,08.06.2001,SWE,,,,,
105,Stefano Zanotto,Team Front Rustad IL,142,01.09.1992,ITA,,,,,
105,Matthias Waldauf,Ski-Willy Marathon Team Austria,142,29.09.1999,AUT,,,,,
107,Leopold Strand,Team Janteloppet,139,17.03.2007,NOR,,,,,
108,Josua Struebel,Ski-Willy Marathon Team Austria,139,08.08.1995,GER,,,,,
